,0,1
0,2009-01-01,New Year's Day
1,2009-01-19,Martin Luther King Jr. Day
2,2009-02-16,Washington's Birthday
3,2009-05-25,Memorial Day
4,2009-07-04,Independence Day
5,2009-07-03,Independence Day (Observed)
6,2009-09-07,Labor Day
7,2009-10-12,Columbus Day
8,2009-11-11,Veterans Day
9,2009-11-26,Thanksgiving
10,2009-12-25,Christmas Day
11,2009-01-01,New Year's Day
12,2009-01-02,New Year Holiday [Scotland]
13,2009-03-17,St. Patrick's Day [Northern Ireland]
14,2009-07-12,Battle of the Boyne [Northern Ireland]
15,2009-08-03,Summer Bank Holiday [Scotland]
16,2009-11-30,St. Andrew's Day [Scotland]
17,2009-12-25,Christmas Day
18,2009-04-10,Good Friday
19,2009-04-13,Easter Monday [England/Wales/Northern Ireland]
20,2009-05-04,May Day
21,2009-05-25,Spring Bank Holiday
22,2009-08-31,Late Summer Bank Holiday [England/Wales/Northern Ireland]
23,2009-12-26,Boxing Day
24,2009-12-28,Boxing Day (Observed)
25,2009-01-01,Jour de l'an
26,2009-05-01,Fête du Travail
27,2009-05-08,Armistice 1945
28,2009-07-14,Fête nationale
29,2009-11-11,Armistice 1918
30,2009-04-13,Lundi de Pâques
31,2009-06-01,Lundi de Pentecôte
32,2009-05-21,Ascension
33,2009-08-15,Assomption
34,2009-11-01,Toussaint
35,2009-12-25,Noël
36,2010-01-01,New Year's Day
37,2010-12-31,New Year's Day (Observed)
38,2010-01-18,Martin Luther King Jr. Day
39,2010-02-15,Washington's Birthday
40,2010-05-31,Memorial Day
41,2010-07-04,Independence Day
42,2010-07-05,Independence Day (Observed)
43,2010-09-06,Labor Day
44,2010-10-11,Columbus Day
45,2010-11-11,Veterans Day
46,2010-11-25,Thanksgiving
47,2010-12-25,Christmas Day
48,2010-12-24,Christmas Day (Observed)
49,2010-01-01,New Year's Day
50,2010-01-02,New Year Holiday [Scotland]
51,2010-01-04,New Year Holiday [Scotland] (Observed)
52,2010-03-17,St. Patrick's Day [Northern Ireland]
53,2010-07-12,Battle of the Boyne [Northern Ireland]
54,2010-08-02,Summer Bank Holiday [Scotland]
55,2010-11-30,St. Andrew's Day [Scotland]
56,2010-12-25,Christmas Day
57,2010-12-27,Christmas Day (Observed)
58,2010-04-02,Good Friday
59,2010-04-05,Easter Monday [England/Wales/Northern Ireland]
60,2010-05-03,May Day
61,2010-05-31,Spring Bank Holiday
62,2010-08-30,Late Summer Bank Holiday [England/Wales/Northern Ireland]
63,2010-12-26,Boxing Day
64,2010-12-28,Boxing Day (Observed)
65,2010-01-01,Jour de l'an
66,2010-05-01,Fête du Travail
67,2010-05-08,Armistice 1945
68,2010-07-14,Fête nationale
69,2010-11-11,Armistice 1918
70,2010-04-05,Lundi de Pâques
71,2010-05-24,Lundi de Pentecôte
72,2010-05-13,Ascension
73,2010-08-15,Assomption
74,2010-11-01,Toussaint
75,2010-12-25,Noël
76,2011-01-01,New Year's Day
77,2011-01-17,Martin Luther King Jr. Day
78,2011-02-21,Washington's Birthday
79,2011-05-30,Memorial Day
80,2011-07-04,Independence Day
81,2011-09-05,Labor Day
82,2011-10-10,Columbus Day
83,2011-11-11,Veterans Day
84,2011-11-24,Thanksgiving
85,2011-12-25,Christmas Day
86,2011-12-26,Christmas Day (Observed)
87,2011-04-29,Wedding of William and Catherine
88,2011-01-01,New Year's Day
89,2011-01-03,New Year's Day (Observed)
90,2011-01-02,New Year Holiday [Scotland]
91,2011-01-04,New Year Holiday [Scotland] (Observed)
92,2011-03-17,St. Patrick's Day [Northern Ireland]
93,2011-07-12,Battle of the Boyne [Northern Ireland]
94,2011-08-01,Summer Bank Holiday [Scotland]
95,2011-11-30,St. Andrew's Day [Scotland]
96,2011-12-25,Christmas Day
97,2011-12-27,Christmas Day (Observed)
98,2011-04-22,Good Friday
99,2011-04-25,Easter Monday [England/Wales/Northern Ireland]
100,2011-05-02,May Day
101,2011-05-30,Spring Bank Holiday
102,2011-08-29,Late Summer Bank Holiday [England/Wales/Northern Ireland]
103,2011-12-26,Boxing Day
104,2011-01-01,Jour de l'an
105,2011-05-01,Fête du Travail
106,2011-05-08,Armistice 1945
107,2011-07-14,Fête nationale
108,2011-11-11,Armistice 1918
109,2011-04-25,Lundi de Pâques
110,2011-06-13,Lundi de Pentecôte
111,2011-06-02,Ascension
112,2011-08-15,Assomption
113,2011-11-01,Toussaint
114,2011-12-25,Noël
115,2012-01-01,New Year's Day
116,2012-01-02,New Year's Day (Observed)
117,2012-01-16,Martin Luther King Jr. Day
118,2012-02-20,Washington's Birthday
119,2012-05-28,Memorial Day
120,2012-07-04,Independence Day
121,2012-09-03,Labor Day
122,2012-10-08,Columbus Day
123,2012-11-11,Veterans Day
